                          Table H7-2
                          Hartwell Project
                          Energy in Storage

                                                   MWH of
  Pool Elev.    Storage      Head         %      Energy in
   Ft. NGVD      Ac-Ft        Ft     Efficiency   Storage

    625.0       1134100      145.2      88.1         0
    626.0       1162000      146.2      88.1        3668
    627.0       1190500      147.2      88.1        7442
    628.0       1219600      148.2      88.2       11323
    629.0       1249300      149.2      88.2       15312
    630.0       1279600      150.3      88.2       19411
    631.0       1310500      151.3      88.3       23620
    632.0       1342100      152.3      88.3       27955
    633.0       1374300      153.3      88.3       32402
    634.0       1407200      154.3      88.3       36978
    635.0       1440800      155.3      88.3       41683
    636.0       1475100      156.3      88.4       46518
    637.0       1510100      157.4      88.4       51485
    638.0       1545900      158.4      88.4       56600
    639.0       1582500      159.4      88.4       61864
    640.0       1619700      160.4      88.4       67250
    641.0       1657800      161.5      88.4       72802
    642.0       1696700      162.5      88.4       78508
    643.0       1736500      163.5      88.4       84383
    644.0       1777100      164.4      88.4       90415
    645.0       1818600      165.6      88.4       96620
    646.0       1860900      166.5      88.4       103026
    647.0       1904100      167.5      88.3       109555
    648.0       1948200      168.4      88.3       116254
    649.0       1993200      169.3      88.3       123124
    650.0       2039100      170.2      88.2       130166
    651.0       2085900      171.2      88.2       137381
    652.0       2133600      172.1      88.1       144771
    653.0       2182200      173.0      88.1       152338
    654.0       2231800      174.0      88.2       160106
    655.0       2282400      174.9      88.4       168086
    656.0       2333800      175.9      88.5       176247
    657.0       2386300      176.9      88.6       184640
    658.0       2439700      177.9      88.7       193235
    659.0       2494200      178.9      88.7       202066
    660.0       2549600      180.0      88.8       211103
    661.0       2606100      181.0      88.9       220381
    662.0       2663600      182.0      89.0       229886
    663.0       2722200      183.0      89.1       239639
    664.0       2781900      183.0      89.1       249609
    665.0       2842700      183.0      89.1       259763
