		Table T7	-2	
		Thurmond	Project	
		Energy i	n Storage	
				
				MWH of
Pool Elev.	Storage	Head	%	Energy in
Ft. M.S.L.	Ac-Ft	Ft	Efficiency	Storage
				
312	1465000	121.7	85.9	30609
313	1510000	122.7	85.9	35445
314	1555000	123.7	85.9	40323
315	1600000	124.8	85.9	45244
316	1650000	125.8	86	50756
317	1700000	126.8	86	56318
318	1750000	127.7	86.3	61930
319	1800000	128.7	86.4	67596
320	1855000	129.6	86.6	73889
321	1915000	130.5	86.8	80820
322	1976000	131.5	87	87933
323	2038000	132.4	87.2	95230
324	2100000	133.3	87.4	102594
325	2165000	134.3	87.6	110386
326	2230000	135.2	87.8	118248
327	2300000	136.7	86.9	126760
328	2370000	138.1	86.2	135286
329	2440000	139.6	85.4	143826
330	2510000	140	85.6	152394
331	2580000	140.4	85.8	161004
332	2650000	139.2	85.8	169602
333	2725000	138	85.9	178744
334	2805000	136.8	86	188422
335	2885000	136.8	86	198062
